Route,Route Name,Service Type,Operator,Contract ID,Contract Region,Directions,Variant Count,Minimum Distance (km),Maximum Distance (km),Average Distance (km),Data Generated Date,Source URL
702,Blacktown to Seven Hills,Regular,CDC NSW R4,GSBC004,GSBC Contract 4,Inbound; Outbound,4,6.53,10.99,8.8,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
705,Blacktown to Parramatta via Pendle Hill,Regular,CDC NSW R4,GSBC004,GSBC Contract 4,Inbound; Outbound,10,7.24,25.19,18.16,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
706,Blacktown to Parramatta via Winston Hills,Regular,CDC NSW R4,GSBC004,GSBC Contract 4,Inbound; Outbound,5,8.47,19.99,13.1,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
708,Constitution Hill RC to Parramatta,Regular,CDC NSW R4,GSBC004,GSBC Contract 4,Inbound; Outbound,2,12.88,13.31,13.09,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
709,Constitution Hill RC to Wentworthville,Regular,CDC NSW R4,GSBC004,GSBC Contract 4,Inbound; Outbound,2,8.51,8.69,8.6,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
711,Blacktown to Parramatta via Constitution Hill,Regular,CDC NSW R4,GSBC004,GSBC Contract 4,Inbound; Outbound,4,8.39,26.01,21.38,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
714,Norwest Station to Seven Hills via Crestwood,Regular,CDC NSW R4,GSBC004,GSBC Contract 4,Inbound; Outbound,2,11.11,11.41,11.26,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
715,Rouse Hill Station to Seven Hills via Norwest,Regular,CDC NSW R4,GSBC004,GSBC Contract 4,Inbound; Outbound,2,20.41,21.28,20.85,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
718,Seven Hills - Kings Langley,Regular,Busways R1,GSBC001,GSBC Contract 1,Inbound; Outbound,8,6.14,6.46,6.3,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
721,Blacktown - Blacktown Hospital,Regular,Busways R1,GSBC001,GSBC Contract 1,Inbound,1,5.47,5.47,5.47,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
722,Blacktown - Prospect Loop via Flushcombe Rd,Regular,Busways R1,GSBC001,GSBC Contract 1,Inbound,15,8.03,13.54,11.39,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
723,Blacktown-Mt Druitt via Eastern Creek,Regular,Busways R1,GSBC001,GSBC Contract 1,Inbound; Outbound,4,21.74,21.99,21.87,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
724,Blacktown - Arndell Park Loop (+Huntingwood Indu),Regular,Busways R1,GSBC001,GSBC Contract 1,Inbound,15,3.87,19.08,12.19,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
726,Blacktown - Bunya via Monash Rd,Regular,Busways R1,GSBC001,GSBC Contract 1,Inbound,6,5.56,12.49,8.74,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
728,Blacktown - Mt Druitt,Regular,Busways R1,GSBC001,GSBC Contract 1,Inbound; Outbound,21,4.61,21.13,14.25,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
729,Blacktown - Mt Druitt,Regular,Busways R1,GSBC001,GSBC Contract 1,Inbound; Outbound,21,5.27,19.18,14.1,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
730,Castle Hill to Blacktown via Norwest & Glenwood,Regular,Busways R1,GSBC001,GSBC Contract 1,Inbound; Outbound,17,8.45,18.04,15.52,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
731,Rouse Hill to Blacktown via Stanhope Gardens,Regular,Busways R1,GSBC001,GSBC Contract 1,Inbound; Outbound,14,10.07,13.52,11.68,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
732,Rouse Hill to Blacktown via The Ponds,Regular,Busways R1,GSBC001,GSBC Contract 1,Inbound; Outbound,7,9.2,20.26,16.01,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
734,Blacktown - Riverstone via The Ponds & Schofields,Regular,Busways R1,GSBC001,GSBC Contract 1,Inbound; Outbound,14,5.11,22.48,16.11,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
735,Blacktown-Rouse Hill,Regular,Busways R1,GSBC001,GSBC Contract 1,Inbound,6,11.12,21.48,15.17,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
738,Mt Druitt&Rooty Hill-EasternCkBusinePk(+HorsleyPk),Regular,Busways R1,GSBC001,GSBC Contract 1,Inbound,6,24.94,31.51,27.13,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
739V,Mt Druitt - Mt Druitt Village,Regular,Busways R1,GSBC001,GSBC Contract 1,Inbound,1,5.07,5.07,5.07,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
740,Rouse Hill to Box Hill,Regular,Busways R1,GSBC001,GSBC Contract 1,Inbound; Outbound,4,10.89,13.17,11.86,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
741,Oakville to Riverstone via Maraylya,Regular,Busways R1,GSBC001,GSBC Contract 1,Inbound; Outbound,4,7.93,29.74,18.88,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
742,Rouse Hill to Riverstone & Marsden Park,Regular,Busways R1,GSBC001,GSBC Contract 1,Inbound; Outbound,8,10.56,19.19,14.79,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
743,Blacktown - Kings Park & Kings Langley,Regular,Busways R1,GSBC001,GSBC Contract 1,Inbound; Outbound,9,9.22,9.58,9.33,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
